,,,,Assembly Statisitcs of Stacks Per Individual (ustacks),,,After Genotype Calling with gstacks,,
Sample,No. Reads,In Catalog (for Genotyping),POP,Average Coverage,Standard Deviation,No. of Reads Used,Number of loci,Mean Coverage,Mean Coverage ns
PCP_m_177,2015460,y,PCP,28.74,80.42, 1035047(51.4%),32396,25.49,28.273
RHD_f_242,3187266,y,RHD,35.64,111.25, 1396716(43.8%),35353,31.742,36.249
RHD_f_245,3282691,y,RHD,32.61,103.53, 1403744(42.8%),38615,29.169,34.407
RHD_f_253,1198067,n,RHD,54.19,130.59, 528822(44.1%),7464,46.779,45.859
RHD_m_239,3816448,y,RHD,31.9,100.38, 1870860(49.0%),53030,29.381,38.404
RHD_m_240,3883290,y,RHD,34.65,115.21, 1893018(48.7%),49362,31.69,39.956
RHD_m_241,1863382,n,RHD,31.93,92.75, 944340(50.7%),23887,26.768,28.348
RHD_m_246,1379829,n,RHD,29.96,82.25, 664141(48.1%),18149,24.873,25.033
RHD_m_247,4254163,y,RHD,33.1,102.82, 2017608(47.4%),55053,30.426,40.881
RHD_m_248,3382304,y,RHD,34.67,110.64, 1778628(52.6%),46580,31.421,39.838
RHD_m_254,2413011,y,RHD,33.44,99.08, 1220013(50.6%),33215,29.593,33.149
RHD_m_255,2782584,y,RHD,33.81,105.43, 1372736(49.3%),36910,30.179,34.706
RHD_m_256,2032467,y,RHD,33.49,99.93, 997506(49.1%),27111,29.58,31.044
RHD_m_257,4126879,y,RHD,34.04,111.19, 2019138(48.9%),54094,31.521,41.278
RVS_f_R3,3181026,y,RVS,63.88,200.8, 1364721(42.9%),19587,58.248,59.531
RVS_f_R4,2034084,y,RVS,70.88,191.46, 977547(48.1%),12530,62.509,57.604
RVS_m_R1,3068970,y,RVS,53.43,178.86, 1340289(43.7%),23129,47.924,48.392
RVS_m_R2,2084868,y,RVS,65.18,186.73, 1036699(49.7%),14536,58.501,55.162
RVS_m_R5,2532622,y,RVS,65.86,200.21, 1181758(46.7%),16494,59.024,55.984
RVS_m_R6,2743057,y,RVS,61.31,190.52, 1279604(46.6%),19344,55.518,54.696
TUL_f_054,3159299,y,TUL,63.25,203.62, 1340220(42.4%),19716,58.346,56.543
TUL_f_061,2598097,n,TUL,63.25,197.59, 1136439(43.7%),15295,53.067,53.177
TUL_f_064,3009782,n,TUL,77.02,199.59, 380263(12.6%),3464,63.854,67.553
TUL_f_072,3142924,y,TUL,55.04,187.55, 1387313(44.1%),23473,50.61,51.393
TUL_f_073,3443965,y,TUL,51.62,178.8, 1416133(41.1%),25659,47.864,49.945
TUL_f_075,3457076,y,TUL,54.03,188.55, 1427764(41.3%),24651,51.161,51.69
TUL_f_077,3473548,y,TUL,51.94,183.85, 1380019(39.7%),24976,49.011,50.624
TUL_f_078,3054081,y,TUL,53.43,183.06, 1280522(41.9%),22617,50.312,50.549
TUL_m_053,1575217,n,TUL,95.78,208.01, 819583(52.0%),7056,78.657,72.082
